size,brand,dominant_material,actual_color,product_type,body,product_details,type,variant_price,variant_compare_at_price,ideal_for,is_in_stock
XXL,INDYA,Silk,Red,A-Line Kurta,"Red solid A-line kurta, has a mandarin collar, sleeveless, straight hem, multiple slits
The model (height 5'8"") is wearing a size S
Show off your elegant style with a brand new kurta from INDYA.  This red piece is a stylish option for a nice family function or event when teamed with churidar leggings and classic flats.
Silk  Machine-wash","Red solid A-line kurta, has a mandarin collar, sleeveless, straight hem, multiple slits",Clothing/Women/Kurtas/INDYA/More by INDYA,1470,2100,Women,Out of Stock
XXL,Purple State,Cotton,Blue | Purple,Straight Kurta,"Blue solid straight kurta, has a mandarin collar, long sleeves, asymmetric hem, side slits
The model (height 6') is wearing a size M
Cotton  Machine-wash
Sport this classic kurta from Purple State this season.  You'll look dapper as ever in this blue piece paired with slim jeans and sandals, ideal for any nice family gathering.","Blue solid straight kurta, has a mandarin collar, long sleeves, asymmetric hem, side slits",Clothing/Men/Kurtas/Purple State/More by Purple State,779,2599,Men,In Stock
XXL,La Firangi,Cotton,Grey | Green,Straight Kurta,"Sea green and grey printed layered straight kurta, has a stylised round neck, ha tie-up detail on the front, three-quarter sleeves, flared hem, no slits
The model (height 5'8"") is wearing a size S
This breathable and stylish kurta from La Firangi is a must-have item for any wardrobe.  Dress up for your next family event by pairing this green piece with your best Kolhapuris and simple jewellery.
Cotton   Hand-wash","Sea green and grey printed layered straight kurta, has a stylised round neck, ha tie-up detail on the front, three-quarter sleeves, flared hem, no slits",Clothing/Women/Kurtas/La Firangi/More by La Firangi,752,1749,Women,In Stock
XXL,Libas,Viscose Rayon,Blue | Grey,Kurta with Palazzos,"Grey and blue printed kurta with palazzosGrey and blue straight calf length kurta, has a round neck, three-quarter sleeves, curved hem, side slits, hook-and-eye closure on the backGrey and blue printed palazzos, slip-on closure, partially elasticated waistband, two pocketsÂ 
The model (height 5'8"") is wearing a size S
Top fabric: Viscose Rayon Bottom fabric: Viscose Rayon Hand-wash
Showcase your unique personal style in this grey kurta set from Libas.  Complement this kurta set with gold accessories.","Grey and blue printed kurta with palazzosGrey and blue straight calf length kurta, has a round neck, three-quarter sleeves, curved hem, side slits, hook-and-eye closure on the backGrey and blue printed palazzos, slip-on closure, partially elasticated waistband, two pocketsÂ ",Clothing/Women/Kurta Sets/Libas/More by Libas,1259,2799,Women,Out of Stock
S,I Know,Viscose Rayon,Blue | Navy,Kurta with Churidar,"Navy Blue solid kurta with churidar Navy Blue straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits Red solid churidar, drawstring closure &nbsp;
The model (height 6') is wearing a size M
Top fabric: Viscose Rayon Bottom fabric: Viscose Rayon Dry-clean
This in-style kurta from I Know is a must-have for any wardrobe.  This navy blue piece is a great option for any evening event when combined with your favourite trousers or jeans.","Navy Blue solid kurta with churidar Navy Blue straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits Red solid churidar, drawstring closure &nbsp;",Clothing/Men/Kurta Sets/I Know/More by I Know,2699,8999,Men,In Stock
Double King,SWAYAM,Cotton,Brown,,"Set content: 1 King bedsheet with 2 pillow covers Quality: Fine Thread count: 200 Colour: Brown Pattern: Abstract
King bedsheet: 2.25 m x 2.70 m (length x width in metres) Pillow covers: 45 cm x 70 cm (length x width in centimetres)
Cotton  Machine-wash
Add grace to your bedroom space with this trendy bedsheet with pillow covers from SWAYAM. Styled with an enthralling design and pattern, it will flaunt the rich taste in your bed linen collection.",Set content: 1 King bedsheet with 2 pillow covers Quality: Fine Thread count: 200 Colour: Brown Pattern: Abstract,Home/Unisex/Bedsheets/SWAYAM/More by SWAYAM,1499,2499,Unisex,In Stock
Onesize,Aasvaa,Satin,Red,Dupatta,"Red and golden-coloured embroidered lehenga choli with dupatta, has zari Red and golden-coloured embroidered unstitched blouse, has a u-neck, three-quarter sleeves Red and golden-coloured embroidered semi-stitched lehenga, has slip-on closure, flared hem Red and golden-coloured embellished dupatta, has taping border
Lehenga:Satin Choli:Satin Dupatta:Net
Blouse fabric: Satin Lehenga fabric: Satin Lehenga lining fabric: Poly Crepe Dupatta fabric: Net
Aasvaa has crafted this lehenga choli to celebrate a blend of tradition and style. While the deep colours and extensive Zari add to the overall richness, the modern cut makes it apt for a contemporary woman. Wear it with well defined eyes and minimal jewellery to bring out the best in you!","Red and golden-coloured embroidered lehenga choli with dupatta, has zari Red and golden-coloured embroidered unstitched blouse, has a u-neck, three-quarter sleeves Red and golden-coloured embroidered semi-stitched lehenga, has slip-on closure, flared hem Red and golden-coloured embellished dupatta, has taping border",Clothing/Women/Lehenga Choli/Aasvaa/More by Aasvaa,4902,10895,Women,Out of Stock
30,AURELIA,Viscose,Blue,Wide Leg Palazzo,"A pair of blue solid woven wide leg palazzos, has a partially elasticated waistband
Mid-riseThe model (height 5'8"") is wearing a size 28
These top-of-the-line blue palazzos made by AURELIA are ideal for warmer days.  For a chic, stylish look, be sure to pair them with a sleek tank and gladiator sandals.
Fabric: 100% Viscose Rayon Fabric Type: Liva Machine-wash","A pair of blue solid woven wide leg palazzos, has a partially elasticated waistband",Clothing/Women/Palazzos/AURELIA/More by AURELIA,674,899,Women,In Stock
S,IMARA,viscose,Blue,A-Line Kurta,"Off-white and blue printed A-line kurta, has a round neck, long sleeves, flared hem, front high slit
The model (height 5'8"") is wearing a size S
100% viscose Hand-wash
Keep it classy all year long with a stylish kurta from IMARA.  For your next dinner party or family gathering, this off-white piece pairs well with dark leggings and chic flats.","Off-white and blue printed A-line kurta, has a round neck, long sleeves, flared hem, front high slit",Clothing/Women/Kurtas/IMARA/More by IMARA,1199,1999,Women,Out of Stock
Onesize,Biba,Cotton,Pink | Blue,Dupatta,"Pink and blue printed dupatta, has pom-pom detail along the border
Length: 2.5 metresWidth: 0.85 metre
CottonHand-wash
This versatile dupatta will add variety to your wardrobe. You can match it with any type of kurta, heels and minimal accessories for a chic look.","Pink and blue printed dupatta, has pom-pom detail along the border",Clothing/Women/Dupatta/Biba/More by Biba,899,899,Women,Out of Stock
XXL,Shree,Liva,Blue | Turquoise Blue,Straight Kurta,"Turquoise blue printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits
The model (height 5'8"") is wearing a size S
Look and feel beautiful in this uniquely designed kurta from Shree. Sport this turquoise blue piece with studded flats and minimal jewellery for a simple yet stunning evening ensemble.
100% Liva Hand-wash","Turquoise blue printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits",Clothing/Women/Kurtas/Shree/More by Shree,479,1199,Women,Out of Stock
XL,SOJANYA,Silk,,Kurta with Churidar,"Gold-Toned and off-white self design kurta with churidar Gold-Toned straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits Off-white solid churidar, drawstring closure &nbsp;
The model (height 6') is wearing a size M
Top fabric: Silk Blend Bottom fabric: Pure Cotton Machine-wash
Complete your look with this kurta from SOJANYA.  When you need a stylish ensemble for your next family function or party, sport this gold piece with a pair of fitted jeans.","Gold-Toned and off-white self design kurta with churidar Gold-Toned straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits Off-white solid churidar, drawstring closure &nbsp;",Clothing/Men/Kurta Sets/SOJANYA/More by SOJANYA,1599,3199,Men,In Stock
L,Manish Creations,Cotton,,Kurta with Pyjamas,"Cream-coloured striped kurta with pyjamasCream-coloured straight above knee kurta, has a mandarin collar, long sleeves, straight hem, side slitsCream-coloured solid pyjamas, drawstring closure
The model (height 6') is wearing a size M
Top fabric: Cotton Blend Bottom fabric: Cotton Blend Dry-clean
From Manish Creations, this kurta is a great way to show off your style.  When you need a stylish ensemble for your next family function or party, sport this cream-coloured piece with a pair of fitted jeans.","Cream-coloured striped kurta with pyjamasCream-coloured straight above knee kurta, has a mandarin collar, long sleeves, straight hem, side slitsCream-coloured solid pyjamas, drawstring closure",Clothing/Men/Kurta Sets/Manish Creations/More by Manish Creations,1999,2499,Men,Out of Stock
S,Anouk,cotton,Red,Kurta with Palazzo,"This kurta set consists of a kurta and a pair of palazzo trousers Cream-coloured and red printed kurta, has a notched round neck, three-quarter sleeves, side slits A pair of red palazzo trousers, has two pockets, a partially elasticated waistband
The model (height 5'8'') is wearing a size S
100% cotton Machine-wash
Effortlessly stylish, this kurta and palazzo trouser set will enhance the beauty of your ethnic wardrobe. Team it with a pair of embellished flats and hoop earrings for a day out.","This kurta set consists of a kurta and a pair of palazzo trousers Cream-coloured and red printed kurta, has a notched round neck, three-quarter sleeves, side slits A pair of red palazzo trousers, has two pockets, a partially elasticated waistband",Clothing/Women/Kurta Sets/Anouk/More by Anouk,1469,2099,Women,In Stock
XL,Manish Creations,Silk,Brown,Kurta with Pyjamas,"Brown and cream-coloured striped kurta with pyjamasBrown straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slitsCream-coloured solid pyjamas, drawstring closure
The model (height 6') is wearing a size M
Sport this classic kurta from Manish Creations this season.  This brown piece is a great option for any evening event when combined with your favourite trousers or jeans.
Top fabric: Silk blendBottom fabric: Silk blendDry-clean","Brown and cream-coloured striped kurta with pyjamasBrown straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slitsCream-coloured solid pyjamas, drawstring closure",Clothing/Men/Kurta Sets/Manish Creations/More by Manish Creations,1874,2499,Men,Out of Stock
XL,Libas,Cotton,Beige | Black,Straight Kurta,"Beige and black printed straight kurta, has a round neck, three-quarter sleeves, curved hem, side slits, hook-and-eye closure
The model (height 5'8"") is wearing a size S
Cotton  Machine-wash
This exquisite kurta from Libas will help you maintain an elegant look all year long.  Sport this beige piece with studded flats and minimal jewellery for a simple yet stunning evening ensemble.","Beige and black printed straight kurta, has a round neck, three-quarter sleeves, curved hem, side slits, hook-and-eye closure",Clothing/Women/Kurtas/Libas/More by Libas,599,1499,Women,Out of Stock
XXL,Global Desi,Cotton,Blue | White,A-Line Kurta,"Blue and white striped A-line kurta, has a mandarin collar, three-quarter sleeves, asymmetric hem, side slits
The model (height 5'8"") is wearing a size S
Cotton   Hand-wash
Keep it classy all year long with a stylish kurta from Global Desi.  Dress up for your next family event by pairing this blue piece with your best Kolhapuris and simple jewellery.","Blue and white striped A-line kurta, has a mandarin collar, three-quarter sleeves, asymmetric hem, side slits",Clothing/Women/Kurtas/Global Desi/More by Global Desi,799,1999,Women,Out of Stock
L,See Designs,Cotton,Pink,Straight Kurta,"Pink solid straight kurta, has a mandarin collar, long sleeves, asymmetric hem, side slits
The model (height 6') is wearing a size M
Cotton   Machine-wash
This in-style kurta from See Designs is a must-have for any wardrobe.  This pink piece is a great option for any evening event when combined with your favourite trousers or jeans.","Pink solid straight kurta, has a mandarin collar, long sleeves, asymmetric hem, side slits",Clothing/Men/Kurtas/See Designs/More by See Designs,1124,2499,Men,In Stock
L,Anouk,cotton,Black,,"Black yoke design A-line pleated kurta, has a mandarin collar, button closure, three-quarter sleeves, slightly flared hem, front slit
The model (height 5'8"") is wearing a size S
You'll love the style, comfort and durability of this Anouk kurta.  Sport this black piece with studded flats and minimal jewellery for a simple yet stunning evening ensemble.
100% cottonHand -wash","Black yoke design A-line pleated kurta, has a mandarin collar, button closure, three-quarter sleeves, slightly flared hem, front slit",Clothing/Women/Kurtas/Anouk/More by Anouk,799,1999,Women,Out of Stock
XXL,La Firangi,Viscose Rayon,Black | White,A-Line Kurta,"Black and white colourblocked A-line kurta, has a round neck, long sleeves, flared hem
The model (height 5'8"") is wearing a size S
Show off your elegant style with a brand new kurta from La Firangi.  Dress up for your next family event by pairing this black piece with your best Kolhapuris and simple jewellery.
Viscose Rayon Hand-wash","Black and white colourblocked A-line kurta, has a round neck, long sleeves, flared hem",Clothing/Women/Kurtas/La Firangi/More by La Firangi,699,1999,Women,In Stock
M,DEYANN,Dupion,Brown,Straight Kurta,"Brown solid straight kurta, has a mandarin collar, long sleeves, straight hem, side slits
Regular Fit
Dupion SilkDry Clean
Look charming and handsome wearing this Kurta from Deyann. Deyann is a men's ethnic wear brand which has a wide range of variety for you to wear your celebration. It has a wide range of casual and daily wear as well as party wear Kurta at a very affordable price.","Brown solid straight kurta, has a mandarin collar, long sleeves, straight hem, side slits",Clothing/Men/Kurtas/DEYANN/More by DEYANN,1345,2990,Men,In Stock
XL,PIVOTO,Cotton,Grey | Charcoal,Short Kurta,"Charcoal grey solid straight kurta, has a mandarin collar, long sleeves with roll-up tabs, a pocket, curved hem
The model (height 6') is wearing a size M
Cotton  Hand-wash
Complete your look with this kurta from PIVOTO.  You'll look dapper as ever in this charcoal piece paired with slim jeans and sandals, ideal for any nice family gathering.","Charcoal grey solid straight kurta, has a mandarin collar, long sleeves with roll-up tabs, a pocket, curved hem",Clothing/Men/Kurtas/PIVOTO/More by PIVOTO,1116,1395,Men,In Stock
XL,Anouk,polyester,Black,Straight Kurta,"Multicoloured and black printed straight kurta, has a round neck, sleeveless, asymmetric hem
The model (height 5'8"") is wearing a size S
This trendy kurta from Anouk will take your personal style to new heights.  Dress up for your next family event by pairing this multi-coloured piece with your best Kolhapuris and simple jewellery.
100% polyester Hand-wash","Multicoloured and black printed straight kurta, has a round neck, sleeveless, asymmetric hem",Clothing/Women/Kurtas/Anouk/More by Anouk,719,1799,Women,In Stock
S,Biba,cotton,Blue | White,,"Blue and white kurta with ikat woven design on the front, has a round neck with a split V-neckline and a hook-and-eye closure, three quarter sleeves, a short button placket,&nbsp;a solid back,&nbsp;and side slits&nbsp;
The model (height 5'8''.5) is wearing a size S which measures 105 cm from shoulder to hem
100% cotton Hand-wash cold
Wear this beautiful kurta from BIBA for an ethnic appeal at your office. Team it up with leggings and heels or flats to complete the look.","Blue and white kurta with ikat woven design on the front, has a round neck with a split V-neckline and a hook-and-eye closure, three quarter sleeves, a short button placket,&nbsp;a solid back,&nbsp;and side slits&nbsp;",Clothing/Women/Kurtas/Biba/More by Biba,1599,1999,Women,Out of Stock
L,Sangria,Cotton,Orange | Fuchsia,A-Line Kurta,"Fuchsia and orange checked A-line kurta, has a mandarin collar, short sleeves, flared hem
The model (height 5'8"") is wearing a size S
Cotton Hand-wash
You'll love the elegant design and fit of this stunning kurta from Sangria.  For your next dinner party or family gathering, this fuchsia piece pairs well with dark leggings and chic flats.","Fuchsia and orange checked A-line kurta, has a mandarin collar, short sleeves, flared hem",Clothing/Women/Kurtas/Sangria/More by Sangria,1599,3999,Women,In Stock
S,Anouk,cotton,Yellow,A-Line Kurta,"Yellow yoke design A-line kurta, has a V-neck, three-quarter sleeves, flared hem, no slits
The model (height 5'8"") is wearing a size S
This breathable and stylish kurta from Anouk is a must-have item for any wardrobe.  Sport this yellow piece with studded flats and minimal jewellery for a simple yet stunning evening ensemble.
100% cotton Hand-wash","Yellow yoke design A-line kurta, has a V-neck, three-quarter sleeves, flared hem, no slits",Clothing/Women/Kurtas/Anouk/More by Anouk,1499,1499,Women,Out of Stock
S,See Designs,Cotton,Khaki,Straight Kurta,"Khaki solid straight kurta, has a mandarin collar, long sleeves, straight hem, side slits
The model (height 6') is wearing a size M
This in-style kurta from See Designs is a must-have for any wardrobe.  Achieve a comfortably chic look for your next dinner party or family outing when you team this khaki piece with slim trousers and minimal flair.
Cotton Machine-wash","Khaki solid straight kurta, has a mandarin collar, long sleeves, straight hem, side slits",Clothing/Men/Kurtas/See Designs/More by See Designs,769,2199,Men,Out of Stock
XS,Global Desi,Viscose,Green | Sea Green,A-Line Kurta,"Sea green printed A-line kurta with embroidery, has a mandarin collar, button closure, three-quarter sleeves, asymmetric hem
The model (height 5'8"") is wearing a size S
100% Viscose Machine-wash
Comfortable and stylish, this kurta from Global Desi is ideal for any fashionista.  This green piece is a stylish option for a nice family function or event when teamed with churidar leggings and classic flats.","Sea green printed A-line kurta with embroidery, has a mandarin collar, button closure, three-quarter sleeves, asymmetric hem",Clothing/Women/Kurtas/Global Desi/More by Global Desi,919,2299,Women,In Stock
XXL,VASTRAMAY,Cotton,Beige | Rust,Kurta with Patiala,"Rust and beige solid kurta with patialaRust straight above knee kurta, has a shirt collar, long sleeves, curved hemBeige solid patiala, drawstring closure
The model (height 6') is wearing a size M
Top fabric: Pure Cotton Bottom fabric: Cotton Blend Dry-clean
Complete your look with this kurta from VASTRAMAY.  You'll look dapper as ever in this rust piece paired with slim jeans and sandals, ideal for any nice family gathering.","Rust and beige solid kurta with patialaRust straight above knee kurta, has a shirt collar, long sleeves, curved hemBeige solid patiala, drawstring closure",Clothing/Men/Kurta Sets/VASTRAMAY/More by VASTRAMAY,1949,6499,Men,In Stock
XL,VASTRAMAY,Dupion,Maroon,Dhoti Pants,"Maroon&nbsp;mid-rise solid dhoti&nbsp;pants, has a drawstring closure
The model (height 6') is wearing a size M
Dupion Silk Dry Clean
Vastramay brings to you this stylish yet comfortable dhoti pant. Pair it with a juti or a mojari for the royal look.","Maroon&nbsp;mid-rise solid dhoti&nbsp;pants, has a drawstring closure",Clothing/Men/Dhotis/VASTRAMAY/More by VASTRAMAY,799,1999,Men,In Stock
7Y,Biba,Cotton,Red | Rust | White,Kurta with Churidar & Dupatta,"Rust red and white kurta with churidar and dupatta Rust red and white floral print Anarkali knee length kurta, has a mandarin collar, long sleeves, no slits Rust red solid churidar, has elasticated waistband, slip-on closure Rust red printed dupatta
Kurta fabric: pure cotton Bottom fabric: pure cotton Dupatta fabric: pure cotton Dry-clean
Help your little girl make a stunning impression at an event of function in this captivating maroon kurta set from Biba.  For the perfect dress-up look, pair this kurta set with flats and bangles.","Rust red and white kurta with churidar and dupatta Rust red and white floral print Anarkali knee length kurta, has a mandarin collar, long sleeves, no slits Rust red solid churidar, has elasticated waistband, slip-on closure Rust red printed dupatta",Clothing/Girls/Kurta Sets/Biba/More by Biba,2474,3299,Girls,Out of Stock
XXL,Global Desi,Cotton,Blue,Top,"Off-White and blue printed woven regular top, has a keyhole neck, short sleeves
The model (height 5'8"") is wearing a size S
Pure Cotton Hand-wash
This fashionable Global Desi top will help you set your style tone for any season.  This off-white piece can be worn with trim denims and canvas sneakers when you're going to a festival with your friends.","Off-White and blue printed woven regular top, has a keyhole neck, short sleeves",Clothing/Women/Tops/Global Desi/More by Global Desi,489,1399,Women,In Stock
XXL,The Indian Garage Co,Cotton,Blue,Straight Kurta,"Blue woven design straight kurta, has a mandarin collar, long sleeves with roll-up tabs and shoulder tabs, curved hem, no slits, two pockets
The model (height 6') is wearing a size M
Complete your look with this kurta from The Indian Garage Co.  Achieve a comfortably chic look for your next dinner party or family outing when you team this blue piece with slim trousers and minimal flair.
Cotton   Machine-wash","Blue woven design straight kurta, has a mandarin collar, long sleeves with roll-up tabs and shoulder tabs, curved hem, no slits, two pockets",Clothing/Men/Kurtas/The Indian Garage Co/More by The Indian Garage Co,524,1499,Men,Out of Stock
S,Sangria,,,,"Showcasing colourblock pattern and a retro-inspired tiered design, this purple dress from Sangria is all about style and elegance. Made from cotton, this dress has a round neck, short sleeves and a front button placket that make it visually appealing, while the flared cut lends a flattering silhouette. This dress can be styled with a pair of white sneakers to look your best.&nbsp;Colourblock pattern&nbsp;Tiered design&nbsp;Front button placket&nbsp;
This model has a height  5'11"", bust 34"", waist  28"", hips 38"" and is wearing size S
Hand Wash","Showcasing colourblock pattern and a retro-inspired tiered design, this purple dress from Sangria is all about style and elegance. Made from cotton, this dress has a round neck, short sleeves and a front button placket that make it visually appealing, while the flared cut lends a flattering silhouette. This dress can be styled with a pair of white sneakers to look your best.&nbsp;Colourblock pattern&nbsp;Tiered design&nbsp;Front button placket&nbsp;",Clothing/Women/Dresses/Sangria/More by Sangria,799,1999,Women,In Stock
XL,Anouk,polyester,Yellow,A-Line Kurta,"Yellow printed A-line kurta, has a V-neck, sleeveless, straight hem
The model (height 5'8'') is wearing a size S
100% polyester  Machine-wash
Add class to your look with this appealing A-line kurta from Anouk. This yellow kurta can be matched with leggings and espadrilles for a fashionable weekend ensemble.","Yellow printed A-line kurta, has a V-neck, sleeveless, straight hem",Clothing/Women/Kurtas/Anouk/More by Anouk,519,1299,Women,In Stock
6-7Y,Biba,Polyester,Brown | Orange,Salwar Suit with Dupatta,"Orange and brown&nbsp;salwar suit&nbsp;with dupatta Orange woven&nbsp;kurta, has a round neck with a&nbsp;tie-up detail on the front, long sleeves, a vented curved hem A pair of brown floral print salwar, has an elasticated waistband, pleated detailing Brown floral print dupatta 
Polyester, cotton and lurex Hand-wash cold
Make your little girl look her ethnic best in this salwar suit&nbsp;from BIBA. Let her style it with embellished sandals and matching accessories for a complete festive appeal.","Orange and brown&nbsp;salwar suit&nbsp;with dupatta Orange woven&nbsp;kurta, has a round neck with a&nbsp;tie-up detail on the front, long sleeves, a vented curved hem A pair of brown floral print salwar, has an elasticated waistband, pleated detailing Brown floral print dupatta ",Clothing/Girls/Kurta Sets/Biba/More by Biba,1499,1499,Girls,Out of Stock
XXL,GERUA,Viscose Rayon,Yellow | Mustard,Maxi Dress,"Mustard yellow and red printed woven maxi dress, has a round neck, three-quarter sleeves with cold shoulder detail, flared hem
Semi-Fit The model (height 5'8"") is wearing a size S
Viscose Rayon Hand-wash
You're sure to love the style and comfort of this opulent GERUA dress. Dress to the nines for your party this weekend by styling this printed piece with pumps and a cute clutch.","Mustard yellow and red printed woven maxi dress, has a round neck, three-quarter sleeves with cold shoulder detail, flared hem",Clothing/Women/Dresses/GERUA/More by GERUA,1499,1499,Women,Out of Stock
Onesize,SUTRAM,Silk,,Dupatta,"Peach-coloured and golden zari work dupatta, has a tasselled border
Length: 2.5 metreWidth: 0.6 metre
This attractive dupatta from SUTRAM will add plenty of charm your look. Team it with an Anarkali kurta, leggings and mojaris or heels for a charming appeal.
Banarasi silkDry-clean","Peach-coloured and golden zari work dupatta, has a tasselled border",Clothing/Women/Dupatta/SUTRAM/More by SUTRAM,699,1748,Women,In Stock
Single,MASPAR,cotton,Pink,,"Set content: 1 bedsheet with 1 pillow coverSize: Single&nbsp;bedQuality: Fine, cottonThread count: 210Feature: FlatColour: Pink Print/pattern: Geometric print
Double bed (queen size): 1.52 m x 2.28 m (length x width)Pillow covers: 50.8 cm x 76.2 cm (length x width)""
100% cottonMachine-wash
Luxurious and appealing, this bedsheet will enhance the overall look of your bedroom interior. Made from soft cotton fabric, it is surely going to become your personal favourite.","Set content: 1 bedsheet with 1 pillow coverSize: Single&nbsp;bedQuality: Fine, cottonThread count: 210Feature: FlatColour: Pink Print/pattern: Geometric print",Home/Unisex/Bedsheets/MASPAR/More by MASPAR,742,1649,Unisex,Out of Stock
S,Global Desi,Viscose Rayon,Grey,A-Line Dress,"Grey printed woven A-line dress, has a square neck, short sleeves, button closure closure,, straight hem Manufacturer: House of Anita Dongre Limited Country of Origin: India
Regular Fit  The model (height 5'8"") is wearing a size S
Viscose Rayon   Machine-wash
Set the tone for this season with this one-of-a-kind Global Desi dress.  Layer this printed grey piece with a light jacket and a trendy purse and head off to dinner in style.","Grey printed woven A-line dress, has a square neck, short sleeves, button closure closure,, straight hem Manufacturer: House of Anita Dongre Limited Country of Origin: India",Clothing/Women/Dresses/Global Desi/More by Global Desi,799,1999,Women,Out of Stock
S,GERUA,Polyester,Brown | Rust,Straight Kurta,"Rust brown solid straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits
The model (height 5'8"") is wearing a size S
This stunning kurta from GERUA will help you maintain an elegant look all year long.  Dress up for your next family event by pairing this rust piece with your best Kolhapuris and simple jewellery.
Polyester Hand-wash","Rust brown solid straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits",Clothing/Women/Kurtas/GERUA/More by GERUA,1299,1299,Women,In Stock
S,Shree,Polyester,Blue,Straight Kurta,"Off-white, blue and beige checked straight kurta, has a round neck, sleeveless, straight hem, side slits
The model (height 5'8"") is wearing a size S
Polyester   Hand-wash
Comfortable and stylish, this kurta from Shree is ideal for any fashionista. For your next dinner party or family gathering, this piece pairs well with dark leggings and chic flats.","Off-white, blue and beige checked straight kurta, has a round neck, sleeveless, straight hem, side slits",Clothing/Women/Kurtas/Shree/More by Shree,399,999,Women,In Stock
L,Hypernation,Cotton,Khaki,Straight Kurta,"Khaki solid straight kurta, has a mandarin collar, long sleeves, asymmetric hem, multiple slits
The model (height 6') is wearing a size M
Flaunt your style with a kurta from Hypernation.  You'll look dapper as ever in this khaki piece paired with slim jeans and sandals, ideal for any nice family gathering.
100% Cotton Machine-wash","Khaki solid straight kurta, has a mandarin collar, long sleeves, asymmetric hem, multiple slits",Clothing/Men/Kurtas/Hypernation/More by Hypernation,849,999,Men,In Stock
13Y,Biba,Polyester,Maroon | Navy,Kurta with Palazzos,"Navy and maroon printed kurta with palazzos and dupatta Navy and maroon straight knee length kurta, has a round neck, long sleeves, side slits Maroon printed palazzos, has elasticated waistband, drawstring closure Cream-coloured solid dupatta, has taping along the border
Kurta fabric: polyester Bottom fabric: polyester Dupatta fabric: poly georgette Dry-clean
Perfect for a special occasion or dressy event, this beautifully crafted kurta set from Biba will fulfill your little girl's style desires. For the perfect dress-up look, pair this kurta set with flats and bangles.","Navy and maroon printed kurta with palazzos and dupatta Navy and maroon straight knee length kurta, has a round neck, long sleeves, side slits Maroon printed palazzos, has elasticated waistband, drawstring closure Cream-coloured solid dupatta, has taping along the border",Clothing/Girls/Kurta Sets/Biba/More by Biba,1999,2499,Girls,Out of Stock
S,See Designs,Cotton,Yellow | White,Kurta with Pyjamas,"Yellow and white solid kurta with pyjamas Yellow and white straight knee length kurta, has a mandarin collar, long sleeves, asymmetric hem, side slits White solid pyjamas, slip-on closure &nbsp;
The model (height 6') is wearing a size M
Top fabric: Cotton Blend Bottom fabric: Cotton Blend Machine-wash
Sport this classic kurta from See Designs this season.  You'll look dapper as ever in this yellow piece paired with slim jeans and sandals, ideal for any nice family gathering.","Yellow and white solid kurta with pyjamas Yellow and white straight knee length kurta, has a mandarin collar, long sleeves, asymmetric hem, side slits White solid pyjamas, slip-on closure &nbsp;",Clothing/Men/Kurta Sets/See Designs/More by See Designs,3999,3999,Men,In Stock
XL,Fabindia,modal,Blue | Navy,A-Line Top,"Navy Blue and maroon handblock print woven A-line top, has a V-neck, short sleeves
Regular Fit  The model (height 5'8"") is wearing a size S
65% cupro, 35% modalDry-clean
Expand your collection of warm-weather staples with this high-quality Fabindia top.  This navy blue piece will look fabulously styled with a cardigan and a slim jean for a casual Friday in the office.","Navy Blue and maroon handblock print woven A-line top, has a V-neck, short sleeves",Clothing/Women/Tops/Fabindia/More by Fabindia,1890,1890,Women,Out of Stock
L,Inddus,Cotton,Blue,Maxi Dress,"Blue printed woven maxi dress, has a mandarin collar, three-quarter sleeves,,, flared hem
Semi-FitThe model (height 5'8"") is wearing a size M
Cotton  Dry-clean
Stand out from the crowd with this beautiful and comfortable Inddus dress.  Dress to impress on your first date and pair your printed blue piece with fun pumps and a stylish purse.","Blue printed woven maxi dress, has a mandarin collar, three-quarter sleeves,,, flared hem",Clothing/Women/Dresses/Inddus/More by Inddus,599,2999,Women,Out of Stock
L,SOJANYA,Cotton,Green | Lime Green,Straight Kurta,"Lime Green solid straight kurta, has a mandarin collar, long sleeves, straight hem, side slits
The model (height 6') is wearing a size M
This in-style kurta from SOJANYA is a must-have for any wardrobe.  Dress this lime green piece up with your favourite accessories and head out to any family event in style.
Cotton and linen Machine-wash","Lime Green solid straight kurta, has a mandarin collar, long sleeves, straight hem, side slits",Clothing/Men/Kurtas/SOJANYA/More by SOJANYA,674,1499,Men,In Stock
